,Total_floor,Curent_floor,Price,TotalSq,LiveSq,KichSq,RoomSq,new_or_not,house_type,pass_elevator,gruz_elevator,balkon,lodgya,visokiy_potolok,sovmest_sanuz,razdeln_sanuz,exist_sanuz,do_metro_peshkom,do_metro_mashina,past_year,future_year,latitude,longitude,sell_type,phone,status_doma,repair,parking,view_window,otdelka,metro_name
177,13,11,3300340.0,35.1,19.8,5.2,19.77,новостройка,монолитный,1,1,1,0,2.8,,1.0,,,20.0,,['2018'],55.516569,37.355069,переуступка,,,,подземная,,,"Теплый Стан,"
178,13,6,3300415.0,33.2,18.2,5.3,18.16,новостройка,монолитный,1,1,1,0,2.8,,1.0,,,20.0,,['2018'],55.518242,37.355143,переуступка,,,,подземная,,,"Теплый Стан,"
179,13,11,3305040.0,35.2,19.8,5.2,19.77,новостройка,монолитный,1,1,1,0,2.8,,1.0,,,20.0,,['2018'],55.516569,37.355069,переуступка,,,,подземная,,,"Теплый Стан,"
180,13,2,3316320.0,35.3,20.0,5.1,19.97,новостройка,монолитный,1,1,1,0,2.8,,1.0,,,20.0,,['2018'],55.516569,37.355069,переуступка,,,,подземная,,,"Теплый Стан,"
181,18,9,3321340.0,34.1,15.8,7.8,15.8,новостройка,монолитный,1,1,1,0,,1.0,,,,30.0,,['2018'],55.966409,37.150548,свободная,,,,,двор,,"Пятницкое шоссе,"
182,13,6,3321825.0,34.1,19.3,5.2,19.34,новостройка,монолитный,1,1,1,0,2.8,,1.0,,,20.0,,['2018'],55.516569,37.355069,переуступка,,,,подземная,,,"Теплый Стан,"
183,8,2,3328000.0,17.0,12.0,3.0,,вторичка,кирпичный,1,0,0,0,3.0,1.0,,,,,,,55.820834,37.642689,альтернатива,,,косметический,,двор,,"ВДНХ,"
184,17,2,3330000.0,27.5,17.0,,17,новостройка,монолитный,2,1,0,0,,1.0,,,9.0,,,['2018'],55.869398,37.473458,214-ФЗ,,,,,,,"Речной вокзал,"
185,9,5,33322003507596.0,31.0,,,,новостройка,кирпично-монолитный,1,1,1,0,,,1.0,,10.0,,,['2018'],55.593565,37.460725,свободная,,,,,двор,,"Саларьево,"
186,4,4,3335000.0,31.0,19.0,6.0,,вторичка,кирпичный,0,0,1,0,,1.0,,,,20.0,,,55.661338,37.32156,свободная,нет,,косметический,,двор,,"Румянцево,"
187,24,18,3339600.0,25.3,12.4,4.5,12.4,новостройка,кирпично-монолитный,2,1,0,0,,1.0,,,,15.0,,['2017'],55.57668,37.481457,свободная,,,,,двор,,"Теплый Стан,"
188,33,19,3349100.0,21.4,9.6,5.0,9.6,новостройка,монолитный,1,1,0,0,,1.0,,,10.0,,,['2019'],55.841851,37.346206,свободная,,,,,двор,,"Митино,"
189,5,1,3350000.0,36.0,23.0,6.5,23,вторичка,панельный дом,0,0,0,0,,1.0,,,,40.0,,,55.431167,36.87039,свободная,,,косметический,наземная,улица,,"Саларьево,"
190,3,2,3350000.0,51.5,30.6,11.7,30.6,новостройка,,0,0,1,0,,,1.0,,,40.0,1979.0,['2017'],55.497862,36.916518,переуступка,,,,наземная,двор и улица,,"Саларьево,"
191,25,11,3350000.0,35.0,25.0,,25,новостройка,монолитный,1,1,1,0,,,,нет,15.0,,,['2017'],55.761801,37.796598,214-ФЗ,,,,подземная,двор,,"Перово,"
192,14,14,33574003534149.0,36.0,,,,новостройка,кирпично-монолитный,1,1,1,0,,,1.0,,10.0,,,['2019'],55.590994,37.452291,свободная,,,,,улица,,"Саларьево,"
193,17,8,3370000.0,33.0,16.0,7.3,,новостройка,панельный дом,1,0,0,1,,,1.0,,,10.0,,['2017'],55.700966,37.93937,свободная,,,,,двор,,"Лермонтовский проспект,"
194,25,1,3383160.0,24.2,7.3,5.5,7.3,новостройка,монолитный,1,2,1,0,,1.0,,,1.0,,,['2018'],55.618842,37.414769,свободная,,,,,двор,,"Саларьево,"
195,9,3,3400000.0,35.6,17.6,8.0,17.6,вторичка,,0,0,0,1,,1.0,,,,,,,55.517495,37.442572,свободная,,,отсутствует,,,,
196,14,8,13700000.0,65.0,39.0,8.5,,вторичка,панельный дом,1,0,2,0,,,1.0,,15.0,,,,55.673143,37.533589,свободная,нет,,косметический,,двор и улица,,"Новые Черемушки,"
197,19,14,46700000.0,95.8,47.4,16.0,47.4,вторичка,кирпично-монолитный,1,1,0,2,3.2,1.0,,,15.0,,,,55.712127,37.49939,свободная,,,дизайнерский,подземная,двор,,"Ломоносовский проспект,"
198,25,4,9234280.0,68.2,40.6,10.0,40.599999999999994,новостройка,монолитный,2,2,0,0,,2.0,,,5.0,,2004.0,['2018'],55.584426,37.604404,свободная,,,,,двор и улица,,"Аннино,"
199,2,1,3400000.0,42.0,28.0,6.0,28,вторичка,кирпичный,0,0,0,0,,,1.0,,,30.0,,,55.608475,37.2924,свободная,,,косметический,,двор,,"Саларьево,"
200,12,6,3400000.0,37.2,19.7,9.5,19.7,новостройка,кирпичный,2,1,1,0,,1.0,,,,15.0,,['2017'],55.549832,37.314193,переуступка,,,,,улица,,"Саларьево,"
201,5,4,3400000.0,46.0,30.0,7.0,30,вторичка,кирпичный,0,0,1,0,,,1.0,,,,,,55.487494,37.500207,свободная,,,косметический,,двор,,"Бунинская аллея,"
202,25,4,3412100.0,22.9,10.8,5.1,10.8,новостройка,панельный дом,1,1,1,0,,1.0,,,,10.0,,['2018'],55.661196,37.410774,свободная,,,,,двор,,"Юго-Западная,"
203,17,2,3417440.0,32.2,,,,новостройка,,0,0,0,0,,,,,,,,['2018'],55.620652,37.266062,свободная,,,,,,,
204,9,5,3450000.0,46.0,20.0,12.0,20,вторичка,,1,1,0,1,,,1.0,,,,,,55.420352,37.411777,свободная,нет,,отсутствует,наземная,двор,,
205,5,1,3450000.0,39.0,19.0,9.0,19,вторичка,,0,0,1,0,2.7,1.0,,,,35.0,2015.0,,55.464881,36.94389,свободная,да,,косметический,наземная,двор и улица,,"Саларьево,"
206,17,11,3450000.0,33.5,18.0,9.5,,вторичка,,1,1,0,1,2.8,,1.0,,,20.0,,,55.621658,37.266196,свободная,нет,,отсутствует,наземная,двор,,"Саларьево,"
207,14,14,34521003633802.0,36.0,,,,новостройка,кирпично-монолитный,1,1,1,0,,,1.0,,10.0,,2015.0,['2019'],55.592921,37.459795,свободная,,,,,улица,,"Саларьево,"
208,25,10,3453280.0,22.6,10.8,5.1,10.8,новостройка,панельный дом,1,1,1,0,,1.0,,,,10.0,,['2018'],55.661196,37.410774,свободная,,,,,двор,,"Юго-Западная,"
209,17,5,3456100.0,32.3,15.6,7.1,15.6,новостройка,панельный дом,1,1,0,1,,1.0,,,,20.0,,['2019'],55.703309,37.937965,214-ФЗ,,,,,двор,,"Выхино,"
210,17,2,3456660.0,32.6,,,,новостройка,,0,0,0,0,,,,,,,,['2018'],55.620652,37.266062,свободная,,,,,,,
211,3,2,3465000.0,51.5,30.6,11.7,30.6,новостройка,,0,0,1,0,,,1.0,,30.0,,,[],55.499306,36.919443,переуступка,,,,,двор,,"Тропарево,"
212,15,2,3465563.0,38.0,,,,новостройка,кирпично-монолитный,1,1,1,0,,,1.0,,20.0,,,['2019'],55.549904,37.508807,свободная,,,,,улица,,"Улица Горчакова,"
213,14,4,34666003649020.0,37.0,,,,новостройка,кирпично-монолитный,1,1,1,0,,,1.0,,10.0,,,['2019'],55.590994,37.452291,свободная,,,,,улица,,"Саларьево,"
214,18,16,3468840.0,27.4,14.1,5.1,14.1,новостройка,монолитный,1,1,0,0,,1.0,,,,5.0,,['2017'],55.541158,37.484935,свободная,,,,,двор,,"Бунинская аллея,"
215,9,2,3468800.0,29.8,,,,новостройка,,1,1,1,0,,1.0,,,,,,['2017'],55.871854,37.474049,свободная,,,,,улица,есть,
216,9,5,3476500.0,17.1,11.3,2.0,11.3,вторичка,панельный дом,2,0,0,0,2.45,1.0,,,,7.0,,,55.869319,37.500324,свободная,да,,евроремонт,наземная,двор,,"Речной вокзал,"
217,15,15,34842003667582.0,40.0,,,,новостройка,кирпично-монолитный,1,1,1,0,,,1.0,,10.0,,1974.0,['2019'],55.593906,37.457806,свободная,,,,,улица,,"Саларьево,"
218,18,3,3484500.0,34.5,17.2,8.2,17.2,новостройка,монолитный,1,1,1,0,,1.0,,,,30.0,,['2018'],55.966409,37.150548,свободная,,,,,двор,,"Пятницкое шоссе,"
219,16,2,3486319.0,36.0,16.0,,,новостройка,монолитный,1,1,1,0,,,1.0,,,7.0,,['2019'],55.565523,37.495502,свободная,,,,,улица,,"Бунинская аллея,"
220,13,2,3486840.0,38.2,,,,вторичка,кирпично-монолитный,1,1,0,1,,1.0,,,,10.0,,,55.50055,37.542976,свободная,нет,,,,двор,,"Бунинская аллея,"
221,2,2,3499000.0,56.0,41.0,,41,вторичка,,0,0,1,0,2.6,,1.0,,,,,,55.7011,37.917268,свободная,,,отсутствует,наземная,двор,,
222,4,3,3500000.0,33.0,18.0,7.0,18,вторичка,,0,0,1,0,2.7,1.0,,,,,2015.0,,55.448842,37.248823,свободная,нет,,евроремонт,наземная,двор,,"Румянцево,"
223,19,14,3500000.0,40.0,18.0,10.0,18,вторичка,кирпичный,1,1,0,1,3.2,1.0,,,,,2012.0,,55.593278,37.20715,свободная,да,,отсутствует,,двор и улица,,
224,8,2,59900000.0,149.0,89.0,12.0,89,вторичка,кирпично-монолитный,1,1,0,0,3.0,2.0,,,8.0,,2015.0,,55.736265,37.456585,свободная,,,дизайнерский,подземная,улица,,"Пионерская,"
225,12,6,16500000.0,40.0,25.0,,25,вторичка,,0,0,0,1,,1.0,,,6.0,,2000.0,,55.766111,37.567869,свободная,,,дизайнерский,,двор,,"Улица 1905 года,"
226,17,2,4650000.0,35.6,14.2,9.2,14.2,вторичка,панельный дом,1,1,0,0,2.64,,1.0,,,10.0,,,55.644526,37.337334,свободная,нет,,косметический,,улица,,"Юго-Западная,"
227,19,19,3500000.0,30.0,20.0,6.0,20,вторичка,кирпично-монолитный,2,1,1,0,,1.0,,,20.0,,2006.0,,55.508743,37.563314,свободная,нет,,косметический,наземная,улица,,"Бунинская аллея,"
