,Балкон:,Вид из окна:,Высота потолков:,Год постройки:,До метро,Жилая площадь:,Координаты,Лифт:,Метро,Общая площадь:,Отделка:,Парковка:,Площадь комнат:,Площадь кухни:,Раздельных санузлов:,Ремонт:,Санузел:,Сдача ГК:,Совмещенных санузлов:,Статус помещения:,Телефон:,Тип дома:,Тип продажи:,Цена,Этаж:
228,1 балк.,двор,,,"10
                мин.
                
                    пешком",–,"[37.460725,55.593565]",1 пасс. + 1 груз.,"Саларьево,",31 м2,,,–,–,1,,,3 кв. 2018 года,,,,"новостройка, 
            кирпично-монолитный",свободная,"3 362 800 руб.

                

                    3 539 833 руб.",9 / 9
229,1 балк.,двор,,,"1
                мин.
                
                    пешком","7,3 м2","[37.414769,55.618842]",1 пасс. + 2 груз.,"Саларьево,","24,2 м2",,,7.3 м2,"5,5 м2",,,,4 кв. 2018 года,1,,,"новостройка, 
            монолитный",свободная,3 383 160 руб.,1 / 25
230,1 лодж.,–,"2,80 м",,"20
                мин.
                
                    на машине","15,9 м2","[37.345122,55.518826]",1 пасс. + 1 груз.,"Теплый Стан,","36,7 м2",,открытая,15.90 м2,"9,4 м2",1,,,2018 год,,,,"новостройка, 
            панельный дом",переуступка,3 394 750 руб.,15 / 17
231,1 балк.,двор,,,"20
                мин.
                
                    на машине",18 м2,"[37.329608,55.500432]",–,"Теплый Стан,",31 м2,,,18 м2,8 м2,1,косметический,,,,,нет,вторичка,свободная,3 400 000 руб.,2 / 5
232,–,двор,,,"14
                мин.
                
                    пешком",30 м2,"[37.362172,55.860145]",–,"Пятницкое шоссе,",37 м2,,,30 м2,5 м2,,отсутствует,,,1,,,вторичка,свободная,3 400 000 руб.,4 / 4
233,1 балк.,улица,,,"15
                мин.
                
                    на машине","19,7 м2","[37.314193,55.549832]",2 пасс. + 1 груз.,"Саларьево,","37,2 м2",,,19.7 м2,"9,5 м2",,,,2 кв. 2017 года,1,,,"новостройка, 
            кирпичный",переуступка,3 400 000 руб.,6 / 12
234,1 балк.,улица,,,"10
                мин.
                
                    пешком",–,"[37.458290,55.593150]",1 пасс. + 1 груз.,"Саларьево,",37 м2,,,–,–,1,,,1 кв. 2019 года,,,,"новостройка, 
            кирпично-монолитный",свободная,"3 403 300 руб.

                

                    3 582 434 руб.",11 / 12
235,нет,улица,,,"5
                мин.
                
                    на машине","29,1 м2","[37.484935,55.541158]",1 пасс. + 1 груз.,"Бунинская аллея,","46,5 м2",,,15.8-13.3 м2,8 м2,,,,1 кв. 2017 года,1,,,"новостройка, 
            панельный дом",свободная,3 405 760 руб.,1 / 9
236,1 балк.,улица,,,"10
                мин.
                
                    пешком",–,"[37.460141,55.593265]",1 пасс. + 1 груз.,"Саларьево,",31 м2,,,–,–,1,,,3 кв. 2019 года,,,,"новостройка, 
            кирпично-монолитный",свободная,"3 413 000 руб.

                

                    3 592 596 руб.",8 / 9
237,1 балк.,двор,,,"10
                мин.
                
                    на машине","10,8 м2","[37.410774,55.661196]",1 пасс. + 1 груз.,"Юго-Западная,","22,6 м2",,,10.8 м2,"5,1 м2",,,,4 кв. 2018 года,1,,,"новостройка, 
            панельный дом",свободная,3 419 380 руб.,7 / 25
238,1 балк.,улица,,,"20
                мин.
                
                    пешком",–,"[37.508807,55.549904]",1 пасс. + 1 груз.,"Улица Горчакова,",35 м2,,,–,–,1,,,1 кв. 2019 года,,,,"новостройка, 
            кирпично-монолитный",свободная,3 422 250 руб.,7 / 15
239,1 балк.,двор,,2014,"28
                мин.
                
                    на машине","16,0 м2","[37.212226,55.520895]",–,"Юго-Западная,","42,3 м2",,многоуровневая,"15,95 м2","9,7 м2",,косметический,,,1,,да,"вторичка, 
            кирпично-монолитный",свободная,3 425 976 руб.,1 / 4
240,1 балк.,улица,,,"20
                мин.
                
                    пешком",–,"[37.508807,55.549904]",1 пасс. + 1 груз.,"Улица Горчакова,",38 м2,,,–,–,1,,,1 кв. 2019 года,,,,"новостройка, 
            кирпично-монолитный",свободная,3 431 250 руб.,2 / 15
241,1 балк.,двор и улица,"2,70 м",,"35
                мин.
                
                    на машине",19 м2,"[36.943890,55.464881]",–,"Саларьево,",39 м2,,наземная,19 м2,9 м2,,косметический,,,1,,да,вторичка,свободная,3 450 000 руб.,1 / 5
242,1 лодж.,двор,,,"20
                мин.
                
                    пешком",–,"[37.473391,55.869424]",2 пасс. + 1 груз.,"Речной вокзал,","27,5 м2",,,–,–,,,,1 кв. 2019 года,1,,,"новостройка, 
            монолитный",свободная,3 454 275 руб.,4 / 17
243,1 лодж.,двор,,,"20
                мин.
                
                    на машине","15,6 м2","[37.937965,55.703309]",1 пасс. + 1 груз.,"Выхино,","32,3 м2",,,"15,6 м2","7,1 м2",,,,2 кв. 2019 года,1,,,"новостройка, 
            панельный дом",214-ФЗ,3 456 100 руб.,5 / 17
244,1 балк.,двор,,,"10
                мин.
                
                    пешком",–,"[37.457806,55.593906]",1 пасс. + 1 груз.,"Саларьево,",38 м2,,,–,–,1,,,1 кв. 2019 года,,,,"новостройка, 
            кирпично-монолитный",свободная,"3 461 400 руб.

                

                    3 643 542 руб.",8 / 15
245,1 балк.,улица,,,"20
                мин.
                
                    пешком",–,"[37.508592,55.550464]",1 пасс. + 1 груз.,"Улица Горчакова,",34 м2,,,–,–,1,,,1 кв. 2019 года,,,,"новостройка, 
            кирпично-монолитный",свободная,3 464 560 руб.,15 / 15
246,1 балк.,двор,,,"30
                мин.
                
                    пешком","30,6 м2","[36.919443,55.499306]",–,"Тропарево,","51,5 м2",,,"18,67-11,93 м2","11,7 м2",1,,,дом сдан,,,,новостройка,переуступка,3 465 000 руб.,2 / 3
247,нет,двор,,,"5
                мин.
                
                    на машине","14,1 м2","[37.484935,55.541158]",1 пасс. + 1 груз.,"Бунинская аллея,","27,4 м2",,,14.1 м2,"5,1 м2",,,,4 кв. 2017 года,1,,,"новостройка, 
            монолитный",свободная,3 468 840 руб.,16 / 18
248,1 балк.,двор,,,"1
                мин.
                
                    пешком","10,3 м2","[37.414769,55.618842]",1 пасс. + 2 груз.,"Саларьево,","24,5 м2",,,10.3 м2,"6,9 м2",,,,2 кв. 2019 года,1,,,"новостройка, 
            монолитный",свободная,3 471 650 руб.,18 / 25
249,–,двор,"2,45 м",1974,"7
                мин.
                
                    на машине","11,3 м2","[37.500324,55.869319]",2 пасс.,"Речной вокзал,","17,1 м2",,наземная,11.3 м2,2 м2,,евроремонт,,,1,,да,"вторичка, 
            панельный дом",свободная,3 476 500 руб.,5 / 9
250,1 балк.,улица,,,"7
                мин.
                
                    на машине",16 м2,"[37.495502,55.565523]",1 пасс. + 1 груз.,"Бунинская аллея,",36 м2,,,–,–,1,,,2 кв. 2019 года,,,,"новостройка, 
            монолитный",свободная,3 486 319 руб.,2 / 16
251,1 лодж.,двор,,,"10
                мин.
                
                    на машине",–,"[37.542976,55.500550]",1 пасс. + 1 груз.,"Бунинская аллея,","38,2 м2",,,–,–,,,,,1,,нет,"вторичка, 
            кирпично-монолитный",свободная,3 486 840 руб.,2 / 13
252,2 лодж.,улица,,,NA,22 м2,"[36.883460,55.394878]",1 пасс.,NA,"51,1 м2",,,–,22 м2,1,,,,,,нет,"вторичка, 
            кирпично-монолитный",свободная,3 490 000 руб.,12 / 16
253,1 лодж.,двор,,,"5
                мин.
                
                    пешком",40 м2,"[37.573267,55.725564]",1 пасс. + 1 груз.,"Спортивная,",67 м2,,,24 м2,21 м2,,отсутствует,нет,,,,нет,"вторичка, 
            кирпично-монолитный",свободная,39 000 000 руб.,6 / 14
254,1 балк.,улица,,,"5
                мин.
                
                    пешком","48,3 м2","[37.611804,55.794050]",1 пасс. + 1 груз.,"Достоевская,","86,2 м2",,,19.3-12.1-8.7-8.2 м2,14 м2,,,,—,2,,,"новостройка, 
            монолитный",свободная,20 430 000 руб.,5 / 14
255,1 балк.,двор и улица,,,"7
                мин.
                
                    пешком","83,2 м2","[37.570674,55.727659]",1 пасс. + 1 груз.,"Фрунзенская,","148,5 м2",,подземная,43.64-21.19-18.40 м2,"18,8 м2",,,,3 кв. 2017 года,2,,,"новостройка, 
            монолитный",переуступка,77 000 000 руб.,6 / 12
256,нет,двор,,,"5
                мин.
                
                    на машине","14,1 м2","[37.484935,55.541158]",1 пасс. + 1 груз.,"Бунинская аллея,","27,6 м2",,,14.1 м2,"5,1 м2",,,,3 кв. 2017 года,1,,,"новостройка, 
            монолитный",свободная,3 494 160 руб.,16 / 18
257,1 балк.,улица,,,"7
                мин.
                
                    на машине",14 м2,"[37.495813,55.566021]",1 пасс. + 1 груз.,"Бунинская аллея,",34 м2,,,–,–,1,,,2 кв. 2019 года,,,,"новостройка, 
            монолитный",свободная,3 499 246 руб.,13 / 16
258,1 балк.,двор,"2,70 м",2012,NA,18 м2,"[37.248823,55.448842]",–,"Румянцево,",33 м2,,наземная,18 м2,7 м2,,евроремонт,,,1,,нет,вторичка,свободная,3 500 000 руб.,3 / 4
259,1 лодж.,двор и улица,"3,20 м",2015,NA,18 м2,"[37.207150,55.593278]",1 пасс. + 1 груз.,NA,40 м2,,,18 м2,10 м2,,отсутствует,,,1,,да,"вторичка, 
            кирпичный",свободная,3 500 000 руб.,14 / 19
260,1 балк.,двор и улица,,2016,"15
                мин.
                
                    пешком",15 м2,"[37.536212,55.504134]",1 пасс. + 1 груз.,"Бунинская аллея,",27 м2,,наземная,15 м2,6 м2,,отсутствует,,,1,,,"вторичка, 
            кирпично-монолитный",свободная,3 499 999 руб.,2 / 22
261,1 балк.,улица,,2016,"20
                мин.
                
                    пешком",20 м2,"[37.563314,55.508743]",2 пасс. + 1 груз.,"Бунинская аллея,",30 м2,,наземная,20 м2,6 м2,,косметический,,,1,,нет,"вторичка, 
            кирпично-монолитный",свободная,3 500 000 руб.,19 / 19
262,1 балк.,двор,,,"15
                мин.
                
                    пешком",35 м2,"[37.796598,55.761801]",1 пасс. + 1 груз.,"Перово,",35 м2,,подземная,35 м2,–,,,,2 кв. 2017 года,1,,,новостройка,214-ФЗ,3 500 000 руб.,11 / 25
263,1 балк.,двор,,,"15
                мин.
                
                    пешком",25 м2,"[37.796598,55.761801]",1 пасс. + 1 груз.,"Перово,",35 м2,,подземная,25 м2,–,,,,2 кв. 2017 года,1,,,новостройка,214-ФЗ,3 500 000 руб.,11 / 25
264,1 лодж.,–,,,NA,"17,6 м2","[37.442572,55.517495]",–,NA,"35,6 м2",,,"17,6 м2",8 м2,,отсутствует,,,1,,,вторичка,свободная,3 500 000 руб.,3 / 9
265,–,улица,,1975,"35
                мин.
                
                    на машине",18 м2,"[37.167418,55.600216]",1 пасс.,"Юго-Западная,",33 м2,,наземная,18 м2,6 м2,,отсутствует,,,1,,да,вторичка,свободная,3 500 000 руб.,4 / 9
266,–,двор,"2,80 м",,NA,18 м2,"[37.200925,56.006698]",–,"Пятницкое шоссе,",34 м2,,,18 м2,6 м2,1,отсутствует,,,1,,,"вторичка, 
            блочный",свободная,3 500 000 руб.,9 / 9
267,–,двор и улица,"3,20 м",1952,"15
                мин.
                
                    пешком",13 м2,"[37.818957,55.790879]",–,"Первомайская,",15 м2,,,"13,0 м2",2 м2,,евроремонт,,,1,,нет,"вторичка, 
            кирпичный",свободная,3 500 000 руб.,5 / 5
268,1 лодж.,двор и улица,,,"20
                мин.
                
                    на машине",22 м2,"[37.282896,55.452921]",1 пасс. + 1 груз.,"Теплый Стан,",43 м2,,многоуровневая,21 м2,11 м2,,,,3 кв. 2017 года,1,,,"новостройка, 
            монолитный",переуступка,3 500 000 руб.,4 / 5
269,1 лодж.,двор,,1994,NA,30 м2,"[37.382555,55.374575]",–,NA,50 м2,,,50 м2,"7,5 м2",1,косметический,,,,,да,вторичка,свободная,3 500 000 руб.,5 / 5
270,–,двор,,1962,"9
                мин.
                
                    пешком","13,3 м2","[37.732179,55.809499]",–,"Бульвар Рокоссовского,","17,4 м2",,,"13,3 м2",–,,косметический,,,1,,,вторичка,свободная,3 500 000 руб.,1 / 5
271,1 лодж.,двор и улица,3 м,2016,NA,16 м2,"[37.536850,55.503206]",2 пасс. + 2 груз.,NA,30 м2,,наземная,16 м2,7 м2,,отсутствует,,,1,,нет,вторичка,свободная,3 500 000 руб.,18 / 22
272,1 балк.,двор,,,"30
                мин.
                
                    на машине","17,3 м2","[37.150548,55.966409]",1 пасс. + 1 груз.,"Пятницкое шоссе,","34,6 м2",,,17.27 м2,"9,2 м2",,,,3 кв. 2018 года,1,,,"новостройка, 
            монолитный",свободная,3 501 520 руб.,12 / 18
273,1 балк.,двор,,,"30
                мин.
                
                    на машине","17,3 м2","[37.150548,55.966409]",1 пасс. + 1 груз.,"Пятницкое шоссе,","34,6 м2",,,17.27 м2,"9,2 м2",,,,3 кв. 2018 года,1,,,"новостройка, 
            монолитный",свободная,3 502 532 руб.,10 / 18
274,1 балк.,улица,,,"7
                мин.
                
                    на машине",–,"[37.495383,55.569153]",1 пасс. + 1 груз.,"Бунинская аллея,",37 м2,,,–,–,1,,,2 кв. 2019 года,,,,"новостройка, 
            кирпично-монолитный",свободная,3 521 182 руб.,2 / 15
275,1 балк.,улица,,,"7
                мин.
                
                    на машине",13 м2,"[37.495502,55.565523]",1 пасс. + 1 груз.,"Бунинская аллея,",34 м2,,,–,–,1,,,2 кв. 2019 года,,,,"новостройка, 
            монолитный",свободная,3 523 162 руб.,12 / 16
276,1 балк.,улица,,,"10
                мин.
                
                    пешком",–,"[37.460141,55.593265]",1 пасс. + 1 груз.,"Саларьево,",34 м2,,,–,–,1,,,3 кв. 2019 года,,,,"новостройка, 
            кирпично-монолитный",свободная,"3 531 700 руб.

                

                    3 717 596 руб.",7 / 9
277,нет,двор,,,"15
                мин.
                
                    на машине","10,7 м2","[37.481457,55.576680]",2 пасс. + 1 груз.,"Теплый Стан,","22,1 м2",,,10.7 м2,"3,4 м2",,,,1 кв. 2017 года,1,,,"новостройка, 
            кирпично-монолитный",свободная,3 536 000 руб.,7 / 24
278,нет,двор,,,"5
                мин.
                
                    на машине",18 м2,"[37.484935,55.541158]",1 пасс. + 1 груз.,"Бунинская аллея,","35,4 м2",,,18 м2,"5,6 м2",,,,1 кв. 2017 года,1,,,"новостройка, 
            панельный дом",свободная,3 539 160 руб.,5 / 9
279,1 балк.,двор,,,"30
                мин.
                
                    на машине","19,3 м2","[37.150548,55.966409]",1 пасс. + 1 груз.,"Пятницкое шоссе,","36,7 м2",,,19.31 м2,"9,2 м2",,,,3 кв. 2018 года,1,,,"новостройка, 
            монолитный",свободная,3 539 620 руб.,4 / 18
280,1 балк.,улица,,,NA,–,"[37.474049,55.871854]",1 пасс. + 2 груз.,NA,"30,1 м2",есть,,–,–,,,,4 кв. 2017 года,1,,,новостройка,свободная,3 549 184 руб.,2 / 9
