,Балкон:,Вид из окна:,Высота потолков:,Год постройки:,До метро,Жилая площадь:,Координаты,Лифт:,Метро,Общая площадь:,Отделка:,Парковка:,Площадь комнат:,Площадь кухни:,Раздельных санузлов:,Ремонт:,Санузел:,Сдача ГК:,Совмещенных санузлов:,Статус помещения:,Телефон:,Тип дома:,Тип продажи:,Цена,Этаж:
153,1 лодж.,двор,,,"20
                мин.
                
                    на машине","20,7 м2","[37.548865,55.925023]",1 пасс. + 1 груз.,"Алтуфьево,","28,8 м2",,,20.7 м2,–,,,,1 кв. 2019 года,1,,,"новостройка, 
            монолитный",свободная,3 142 080 руб.,11 / 16
154,1 лодж.,двор,,2015,NA,20 м2,"[37.411777,55.420352]",1 пасс. + 1 груз.,NA,46 м2,,наземная,20 м2,12 м2,1,отсутствует,,,,,нет,вторичка,свободная,3 150 000 руб.,5 / 9
155,–,двор,,,"20
                мин.
                
                    на машине",20 м2,"[37.395328,55.519412]",1 пасс. + 1 груз.,"Теплый Стан,","40,3 м2",,,20 м2,11 м2,,,,3 кв. 2017 года,1,,,"новостройка, 
            кирпичный",переуступка,3 150 000 руб.,1 / 8
156,–,двор,,,"20
                мин.
                
                    на машине",–,"[37.395328,55.519412]",нет,"Теплый Стан,",39 м2,,,16 м2,9 м2,,,,—,1,,,"новостройка, 
            кирпичный",свободная,3 150 000 руб.,1 / 3
157,нет,двор,,,"10
                мин.
                
                    пешком","9,6 м2","[37.346206,55.841851]",1 пасс. + 1 груз.,"Митино,","20,9 м2",,,9.6 м2,5 м2,,,,2 кв. 2019 года,1,,,"новостройка, 
            монолитный",свободная,3 151 720 руб.,9 / 33
158,нет,двор,,,"15
                мин.
                
                    на машине","14,2 м2","[37.481457,55.576680]",2 пасс. + 1 груз.,"Теплый Стан,","25,8 м2",,,14.2 м2,"4,6 м2",,,,1 кв. 2018 года,1,,,"новостройка, 
            кирпично-монолитный",свободная,3 168 240 руб.,9 / 21
159,1 лодж.,двор,,,"20
                мин.
                
                    на машине","13,6 м2","[37.548865,55.925023]",1 пасс. + 1 груз.,"Алтуфьево,",28 м2,,,13.6 м2,"6,8 м2",,,,1 кв. 2019 года,1,,,"новостройка, 
            монолитный",свободная,3 169 600 руб.,9 / 16
160,1 балк.,двор,,,"1
                мин.
                
                    пешком","7,3 м2","[37.414769,55.618842]",1 пасс. + 2 груз.,"Саларьево,","23,2 м2",,,7.3 м2,"5,5 м2",,,,2 кв. 2019 года,1,,,"новостройка, 
            монолитный",свободная,3 171 440 руб.,1 / 25
161,1 балк.,двор,,,"1
                мин.
                
                    пешком","7,7 м2","[37.414769,55.618842]",1 пасс. + 2 груз.,"Саларьево,",23 м2,,,7.7 м2,"5,1 м2",,,,2 кв. 2019 года,1,,,"новостройка, 
            монолитный",свободная,3 183 200 руб.,7 / 25
162,1 балк.,–,"2,80 м",,"20
                мин.
                
                    на машине","18,2 м2","[37.355069,55.516569]",1 пасс. + 1 груз.,"Теплый Стан,","33,2 м2",,подземная,18.16 м2,"5,3 м2",1,,,2018 год,,,,"новостройка, 
            монолитный",переуступка,3 184 320 руб.,10 / 13
163,–,двор,"2,80 м",,NA,–,"[36.919620,55.487340]",1 пасс.,NA,"63,7 м2",,,–,–,,,нет,2017 год,,,,"новостройка, 
            кирпично-монолитный",свободная,3 185 000 руб.,2 / 3
164,–,двор,"2,64 м",1972,"10
                мин.
                
                    пешком",17 м2,"[37.617986,55.606690]",–,"Пражская,",23 м2,,,6 м2,4 м2,,косметический,,,1,,,вторичка,свободная,3 190 000 руб.,1 / 9
165,–,двор,"2,64 м",1972,"16
                мин.
                
                    пешком",15 м2,"[37.617986,55.606690]",1 пасс.,"Пражская,",23 м2,,наземная,15 м2,5 м2,,косметический,,,1,,,вторичка,свободная,3 190 000 руб.,1 / 9
166,–,двор,"2,64 м",1972,"16
                мин.
                
                    пешком",15 м2,"[37.617986,55.606690]",–,"Пражская,",23 м2,,,15 м2,5 м2,,косметический,,,1,,,вторичка,свободная,3 190 000 руб.,1 / 9
167,нет,двор,,,"15
                мин.
                
                    на машине",–,"[37.481457,55.576680]",2 пасс. + 1 груз.,"Теплый Стан,","25,9 м2",,,–,–,,,,4 кв. 2017 года,1,,,"новостройка, 
            кирпично-монолитный",свободная,3 193 470 руб.,10 / 17
168,нет,двор,,,"10
                мин.
                
                    пешком","18,8 м2","[37.582403,55.840153]",1 пасс. + 1 груз.,"Петровско-Разумовская,","22,5 м2",,,18.75 м2,–,,,,4 кв. 2018 года,1,,,"новостройка, 
            монолитный",свободная,3 193 580 руб.,6 / 14
169,1 балк.,двор,,,"12
                мин.
                
                    на машине",40 м2,"[37.491296,55.702947]",1 пасс. + 1 груз.,"Университет,","75,5 м2",,,21.5-18.5 м2,"11,5 м2",,отсутствует,нет,,,,нет,"вторичка, 
            монолитный",свободная,19 900 000 руб.,3 / 21
170,нет,двор,3 м,2003,"14
                мин.
                
                    пешком",102 м2,"[37.473150,55.655163]",1 пасс. + 1 груз.,"Юго-Западная,",164 м2,,подземная,36-25-41 м2,22 м2,,дизайнерский,,,1,пентхаус,,"вторичка, 
            монолитный",свободная,85 000 000 руб.,22 / 22
171,2 лодж.,двор и улица,,,"10
                мин.
                
                    пешком","70,8 м2","[37.634398,55.677539]",2 пасс. + 2 груз.,"Нагатинская,","128,3 м2",,подземная,15.7-18.8-16.0-20.3 м2,"15,1 м2",,,,,2,,,"вторичка, 
            монолитный",свободная,21 717 000 руб.,12 / 32
172,1 балк.,улица,,1985,NA,18 м2,"[36.869860,55.433588]",–,NA,30 м2,,наземная,18 м2,6 м2,,косметический,,,1,,,вторичка,свободная,3 200 000 руб.,9 / 9
173,1 балк.,улица,,,"10
                мин.
                
                    пешком",–,"[37.452291,55.590994]",1 пасс. + 1 груз.,"Саларьево,",35 м2,,,–,–,1,,,3 кв. 2019 года,,,,"новостройка, 
            кирпично-монолитный",свободная,"3 203 500 руб.

                

                    3 372 120 руб.",2 / 9
174,1 лодж.,двор,,,"20
                мин.
                
                    на машине","10,9 м2","[37.548865,55.925023]",1 пасс. + 1 груз.,"Алтуфьево,","27,7 м2",,,10.9 м2,7 м2,,,,1 кв. 2019 года,1,,,"новостройка, 
            монолитный",свободная,3 204 890 руб.,9 / 16
175,1 балк.,улица,,,"20
                мин.
                
                    пешком",–,"[37.508592,55.550464]",1 пасс. + 1 груз.,"Улица Горчакова,",31 м2,,,–,–,1,,,1 кв. 2019 года,,,,"новостройка, 
            кирпично-монолитный",свободная,3 208 532 руб.,12 / 15
176,1 балк.,улица,,,"20
                мин.
                
                    пешком",–,"[37.508592,55.550464]",1 пасс. + 1 груз.,"Улица Горчакова,",30 м2,,,–,–,1,,,1 кв. 2019 года,,,,"новостройка, 
            кирпично-монолитный",свободная,3 209 480 руб.,13 / 15
177,1 балк.,двор,,,"30
                мин.
                
                    на машине","13,2 м2","[37.150548,55.966409]",1 пасс. + 1 груз.,"Пятницкое шоссе,","33,9 м2",,,13.2 м2,"10,7 м2",,,,4 кв. 2017 года,1,,,"новостройка, 
            монолитный",свободная,3 212 772 руб.,14 / 18
178,–,двор,,1959,"3
                мин.
                
                    пешком",11 м2,"[37.642689,55.820834]",–,"ВДНХ,","16,5 м2",,,11 м2,3 м2,,косметический,,,1,,,вторичка,альтернатива,3 215 500 руб.,2 / 8
179,1 балк.,улица,,,"7
                мин.
                
                    на машине",9 м2,"[37.495502,55.565523]",1 пасс. + 1 груз.,"Бунинская аллея,",30 м2,,,–,–,1,,,2 кв. 2019 года,,,,"новостройка, 
            монолитный",свободная,3 221 976 руб.,12 / 16
180,1 лодж.,двор,,,"19
                мин.
                
                    на машине","21,7 м2","[37.450761,55.533224]",1 пасс. + 1 груз.,"Теплый Стан,","40,5 м2",,подземная,21.7 м2,5 м2,,,,дом сдан,1,,,новостройка,переуступка,3 242 400 руб.,12 / 17
181,1 балк.,двор и улица,,,"15
                мин.
                
                    пешком","22,2 м2","[37.510957,55.523648]",1 пасс. + 1 груз.,"Бунинская аллея,","27,9 м2",,,–,"22,2 м2",,,,—,1,,,"новостройка, 
            монолитный",свободная,3 243 949 руб.,13 / 17
182,1 балк.,улица,,,"30
                мин.
                
                    на машине","23,0 м2","[37.150548,55.966409]",1 пасс. + 1 груз.,"Пятницкое шоссе,","32,7 м2",,,13.35-9.64 м2,"3,3 м2",1,,,3 кв. 2018 года,,,,"новостройка, 
            монолитный",свободная,3 244 832 руб.,12 / 18
183,1 балк.,улица,,,"7
                мин.
                
                    на машине",12 м2,"[37.495813,55.566021]",1 пасс. + 1 груз.,"Бунинская аллея,",33 м2,,,–,–,1,,,2 кв. 2019 года,,,,"новостройка, 
            монолитный",свободная,3 249 796 руб.,2 / 16
184,1 балк.,двор,,,"30
                мин.
                
                    на машине","13,2 м2","[37.150548,55.966409]",1 пасс. + 1 груз.,"Пятницкое шоссе,","33,8 м2",,,13.2 м2,"10,6 м2",,,,4 кв. 2017 года,1,,,"новостройка, 
            монолитный",свободная,3 252 051 руб.,10 / 18
185,нет,двор,,,"15
                мин.
                
                    на машине","12,4 м2","[37.481457,55.576680]",2 пасс. + 1 груз.,"Теплый Стан,","25,3 м2",,,12.4 м2,"4,5 м2",,,,4 кв. 2017 года,1,,,"новостройка, 
            кирпично-монолитный",свободная,3 253 580 руб.,15 / 24
186,нет,двор,,,"15
                мин.
                
                    на машине","14,4 м2","[37.481457,55.576680]",2 пасс. + 1 груз.,"Теплый Стан,","26,1 м2",,,14.4 м2,"3,4 м2",,,,4 кв. 2017 года,1,,,"новостройка, 
            кирпично-монолитный",свободная,3 257 280 руб.,10 / 17
187,1 лодж.,двор,,,"10
                мин.
                
                    на машине","14,1 м2","[37.542976,55.500550]",1 пасс. + 1 груз.,"Бунинская аллея,","28,3 м2",,,14.1 м2,–,,,,,1,,нет,"вторичка, 
            кирпично-монолитный",свободная,3 264 291 руб.,3 / 6
188,1 лодж.,двор,,,"10
                мин.
                
                    на машине","14,1 м2","[37.542976,55.500550]",1 пасс. + 1 груз.,"Бунинская аллея,","28,3 м2",,,14.1 м2,–,,,,,1,,нет,"вторичка, 
            кирпично-монолитный",свободная,3 264 291 руб.,4 / 6
189,1 балк.,улица,,,"10
                мин.
                
                    пешком",–,"[37.452291,55.590994]",1 пасс. + 1 груз.,"Саларьево,",33 м2,,,–,–,1,,,3 кв. 2019 года,,,,"новостройка, 
            кирпично-монолитный",свободная,"3 271 400 руб.

                

                    3 443 540 руб.",7 / 9
190,1 балк.,улица,,,"7
                мин.
                
                    на машине",9 м2,"[37.495813,55.566021]",1 пасс. + 1 груз.,"Бунинская аллея,",30 м2,,,–,–,1,,,2 кв. 2019 года,,,,"новостройка, 
            монолитный",свободная,3 277 221 руб.,13 / 16
191,нет,двор,,,"15
                мин.
                
                    на машине","14,6 м2","[37.481457,55.576680]",2 пасс. + 1 груз.,"Теплый Стан,","26,5 м2",,,14.6 м2,"3,3 м2",,,,4 кв. 2017 года,1,,,"новостройка, 
            кирпично-монолитный",свободная,3 280 700 руб.,14 / 24
192,1 балк.,улица,,,"10
                мин.
                
                    пешком",–,"[37.452291,55.590994]",1 пасс. + 1 груз.,"Саларьево,",31 м2,,,–,–,1,,,3 кв. 2019 года,,,,"новостройка, 
            кирпично-монолитный",свободная,"3 285 900 руб.

                

                    3 458 840 руб.",4 / 9
193,–,двор,,1983,"15
                мин.
                
                    на машине",14 м2,"[37.655841,55.578294]",1 пасс. + 1 груз.,"Пражская,",20 м2,,наземная,–,4 м2,,,,,1,,,"вторичка, 
            панельный дом",свободная,3 290 000 руб.,8 / 10
194,1 балк.,двор,,,"30
                мин.
                
                    на машине","13,2 м2","[37.150548,55.966409]",1 пасс. + 1 груз.,"Пятницкое шоссе,","34,2 м2",,,13.2 м2,"11,6 м2",,,,4 кв. 2017 года,1,,,"новостройка, 
            монолитный",свободная,3 290 571 руб.,13 / 18
195,нет,двор,,,"15
                мин.
                
                    на машине",–,"[37.481457,55.576680]",2 пасс. + 1 груз.,"Теплый Стан,","25,5 м2",,,–,–,,,,4 кв. 2017 года,1,,,"новостройка, 
            кирпично-монолитный",свободная,3 294 600 руб.,16 / 17
196,1 балк.,улица,,,"10
                мин.
                
                    пешком",–,"[37.452291,55.590994]",1 пасс. + 1 груз.,"Саларьево,",32 м2,,,–,–,1,,,3 кв. 2019 года,,,,"новостройка, 
            кирпично-монолитный",свободная,"3 296 000 руб.

                

                    3 469 438 руб.",7 / 15
