,title,date,views
72,Для дела Шакро Молодого ввели термин «лидер преступного сообщества России»,"13 октября, 02:58",3 211
73,"Со счетов россиян за год украли 348,6 млн рублей с помощью вирусов для Android","13 октября, 02:14",4 202
74,WSJ узнала о подготовке новых санкций против России,"13 октября, 01:48",7 102
75,В Голландии предложили распространить закон об эвтаназии на здоровых людей,"13 октября, 00:28",4 474
76,Подозреваемый в подготовке теракта в Германии покончил с собой в камере,"13 октября, 00:10",2 625
77,Минтранс предложил сделать пересечение границы платным,"12 октября, 22:12",7 591
78,США предложили российским военным охранять гуманитарный конвой под Алеппо,"12 октября, 21:55",4 014
79,По факту нападения на дочь Емельяненко возбудили уголовное дело,"12 октября, 20:45",10 695
80,Минюст попросил проверить конституционность решений ЕСПЧ по ЮКОСу,"12 октября, 19:23",2 411
81,ДНР сообщила о бое в Донбассе с 17 жертвами,"12 октября, 19:17",8 852
82,«Роснефть» купила госпакет «Башнефти»,"12 октября, 17:56",2 515
83,Дочь Емельяненко избили после скандала с Кадыровым,"12 октября, 17:24",66 890
84,Россия согласилась заморозить добычу нефти на рекордном уровне,"12 октября, 17:10",3 407
85,Арест имущества Белых отменили,"12 октября, 17:02",2 430
86,Путина удивило решение правительства продать «Башнефть» «Роснефти»,"12 октября, 16:40",5 268
87,Путин оправдал расходы «Газпрома» на инфраструктуру «работой на будущее»,"12 октября, 16:22",1 495
88,Путин назвал причину переноса своего визита в Париж,"12 октября, 16:08",2 597
89,Путин обвинил Запад в шантаже из-за Сирии,"12 октября, 15:55",2 697
90,Путин пожаловался на попытки «диктата» со стороны США,"12 октября, 15:44",2 913
91,Минфин определил объемы трат из Резервного фонда и ФНБ на ближайшие три года,"12 октября, 15:08",1 834
92,В России запретят ставки на детский спорт,"12 октября, 14:10",1 787
93,В Думе решили запретить голосование по чужим карточкам,"12 октября, 13:56",3 003
94,Москва сочла лестными обвинения в хакерских атаках в США,"12 октября, 13:37",1 735
95,Кремль напомнил Лондону об обязанности защищать российское посольство,"12 октября, 13:21",2 303
96,Песков отверг переход на должность помощника президента,"12 октября, 13:20",1 328
97,Экономисты рассказали о «стабильной стагнации» в российской промышленности,"12 октября, 13:14",2 018
98,Россия попросила Швейцарию пустить Матвиенко на форум БРИКС,"12 октября, 12:40",8 332
99,Набиуллина назвала способ сдержать укрепление рубля,"12 октября, 12:16",4 549
100,Прокуратура запросила реальный срок для сына вице-президента «Лукойла»,"12 октября, 11:45",4 982
101,ЦБ предостерег россиян от чрезмерно активного потребления,"12 октября, 11:14",5 908
102,Совет Федерации поддержал бессрочное размещение авиации в Сирии,"12 октября, 10:41",1 866
103,FT назвала причину отказа Олланда открыть православный центр вместе с Путиным,"12 октября, 10:34",9 515
104,Президент «Башнефти» уйдет в отставку накануне приватизации,"12 октября, 10:28",1 570
105,СМИ узнали о пропаже из СК материалов по делу Шакро Молодого,"12 октября, 10:00",5 723
106,Минобороны РФ обвинило МИД Великобритании в «русофобской истерии» из-за Сирии,"12 октября, 09:17",1 368
107,Deloitte запретили искать новых клиентов в России,"12 октября, 08:29",8 207
108,СМИ узнали о желании китайцев купить уязвимости в iOS и Android у российских компаний,"12 октября, 06:09",2 933
109,Правительство рассмотрит ограничение роста тарифов ЖКХ,"12 октября, 04:57",2 732
110,В России появится реестр отечественного IT-оборудования,"12 октября, 03:59",1 886
111,Минэкономразвития снизило рост ВВП в макропрогнозе бюджета,"12 октября, 02:30",2 833
112,СМИ узнали о скорой отставке помощника президента по международным вопросам,"11 октября, 23:23",5 130
113,Белый дом пообещал ответить на атаки российских хакеров,"11 октября, 22:01",3 394
114,МИД рассказал о чувстве стыда после призыва Лондона пикетировать посольство РФ,"11 октября, 20:38",4 785
115,Имущество обанкротившихся банков будут продавать на «живых» торгах,"11 октября, 19:59",2 015
116,ФБК нашел дачу генерала ФСБ на закрытом участке границы с Финляндией,"11 октября, 19:58",9 116
117,Россиянку лишили золота Игр-2012,"11 октября, 19:24",2 544
118,Глава британского МИДа призвал к протестам у российских посольств из-за Сирии,"11 октября, 18:12",4 494
119,Путин поручил привлечь МГУ к работе Российской антидопинговой лаборатории,"11 октября, 17:56",1 732
120,«Победа» объяснила иск к «Новой газете»,"11 октября, 17:38",3 059
121,Путин потребовал сократить финансирование спортивных команд из бюджета,"11 октября, 17:34",5 378
122,Минюст предложил привлечь осужденных к работе на госкорпорации,"11 октября, 17:15",4 113
123,Ирландия снизит налоги для защиты экономики от Brexit,"11 октября, 17:03",1 554
124,Отток капитала из России с начала года сократился в пять раз,"11 октября, 16:20",1 652
125,«Роснефть» объявила о невозможности противоречий между Cечиным и Путиным,"11 октября, 15:50",3 102
126,ТАСС сообщил о попытке взломщика базы JPMorgan получить убежище в РФ,"11 октября, 15:43",2 202
127,Минфин отложил работу над законом о биткоинах,"11 октября, 15:32",1 398
128,Минфин отказался от идеи спасать банки через «стрижку вкладов» населения,"11 октября, 15:31",2 840
129,«Победа» подала в суд на «Новую газету»,"11 октября, 15:05",2 724
130,СК завел дело о похищении россиян для обмена на украинских военных,"11 октября, 14:31",2 400
131,Компания удмуртского депутата отказалась платить за выигранное у «Роснефти» месторождение,"11 октября, 14:29",1 828
132,Олланд назвал условие встречи с Путиным по Сирии,"11 октября, 14:11",6 684
133,Россия обогнала Румынию и Хорватию по оптимизму потребителей,"11 октября, 13:38",1 741
134,В Кремле разъяснили слова Сечина об отказе от сокращения добычи,"11 октября, 13:35",3 330
135,Кремль объяснил отказ Путина от встречи с Олландом,"11 октября, 13:30",10 409
136,Samsung полностью прекратила выпуск Galaxy Note 7,"11 октября, 13:06",2 217
137,Минфин рассказал о подготовке новой «дорожной карты» по МФЦ в России,"11 октября, 13:01",1 373
138,Москва назвала «опасной ездой» обвинения Вашингтона в кибератаках,"11 октября, 12:55",1 459
139,Комиссар Совета Европы по правам человека отказался ехать в Россию,"11 октября, 12:53",3 085
140,Выброшенному из окна отдела МВД с пристегнутой гирей россиянину присудили €23 тысячи,"11 октября, 12:21",13 777
141,В «Лукойле» объяснили отказ от участия в приватизации «Башнефти»,"11 октября, 12:19",1 760
142,Смягчение приговора экс-главкому Сухопутных войск признали незаконным,"11 октября, 12:08",3 818
143,СМИ узнали об отказе Путина от визита в Париж,"11 октября, 11:54",20 204
144,МЭА вновь снизило прогноз по росту спроса на нефть в 2016 году,"11 октября, 11:52",2 769
145,«Роснефть» отказалась ограничивать добычу в рамках соглашения мировых производителей,"11 октября, 10:57",5 661
146,СМИ узнали о задержании в Москве взломщика базы данных JPMorgan Chase,"11 октября, 09:42",3 888
147,Назван самый благоустроенный город России,"11 октября, 09:26",4 013
148,ВТБ закроет отделение в Лондоне из-за Brexit,"11 октября, 09:06",1 868
149,В наводнениях из-за урагана «Мэтью» в США погибли 30 человек,"11 октября, 07:06",1 758
150,СМИ сообщили о завершении расследования о хищениях при строительстве станции «Шипиловская»,"11 октября, 06:43",2 127
151,«Коммерсантъ» рассказал о кандидате на пост главы аппарата Кириенко,"11 октября, 05:39",3 277
152,Москва увеличит вложения в строительство на 282 млрд рублей,"11 октября, 04:51",2 091
153,СМИ узнали о возможном назначении Виктории Абрамченко руководителем Росреестра,"11 октября, 03:59",2 105
154,Samsung попросит партнеров отказаться от продажи и обмена Galaxy Note 7,"11 октября, 02:11",3 752
155,Куратор информационной политики Кремля Ольга Ситникова перейдет в Госдуму,"11 октября, 01:46",2 647
156,В автомобили Toyota установят сим-карты,"11 октября, 00:36",2 947
157,ИГИЛ подтвердило гибель «министра информации»,"10 октября, 23:52",1 591
158,В парламент Грузии прошли три партии,"10 октября, 22:57",2 287
159,СМИ узнали о закрытии уголовных дел против братьев Билаловых,"10 октября, 22:30",4 554
160,Минфин предложил наказывать пенсионные фонды за упущенную выгоду,"10 октября, 21:49",1 965
161,Россия снимет запрет на турецкие фрукты,"10 октября, 20:51",5 734
162,Россия и Турция подписали соглашение по строительству «Турецкого потока»,"10 октября, 20:19",2 671
163,МВД второй раз за полгода купило 120 огнеметов,"10 октября, 19:37",6 959
164,Газпромбанк продал попавшую под санкции США армянскую «дочку»,"10 октября, 19:27",2 330
165,Правительство отказалось поддержать законопроект Мизулиной о «бэби-боксах»,"10 октября, 18:18",2 918
166,Белоруссия объяснила заявления о скидке на российский газ,"10 октября, 17:55",2 576
167,Путин допустил Роспотребнадзор к государственной тайне,"10 октября, 16:54",2 218
168,Баррель Brent впервые за год стал стоить больше $53,"10 октября, 16:40",2 689
169,Россия закрыла для иностранцев главный КПП на границе с Белоруссией,"10 октября, 16:34",8 256
170,«Роснефть» сочла позором публикацию о «яхте Сечина»,"10 октября, 16:23",6 346
171,Путин отказался верить в «закат эры углеводородов»,"10 октября, 15:43",6 924
172,Аналитики Сбербанка сообщили о сокращении среднего класса в России,"10 октября, 15:35",4 825
173,Минобороны отказало Великобритании в праве осуждать ситуацию в Сирии,"10 октября, 15:30",3 463
174,Сечин выиграл суд у «Новой газеты» по статье о яхте,"10 октября, 14:54",5 439
175,Правительство утвердило новый порядок кредитования российских регионов,"10 октября, 14:38",1 554
176,Самарский вице-губернатор стал гендиректором РВК,"10 октября, 14:15",2 021
177,Российский авторынок «преодолел планку» в 1 млн проданных машин,"10 октября, 14:14",2 023
178,Медведев опроверг заявления Минска о скидке на газ,"10 октября, 13:53",1 834
179,Медведев распорядился продать «Башнефть» за 330 млрд рублей,"10 октября, 13:51",2 279
180,Улюкаев отказался обсуждать «автоприватизацию» «Роснефти»,"10 октября, 13:30",2 874
181,В России разрешили продажу презервативов Durex,"10 октября, 13:04",2 715
182,В Госдуме отказались ужесточать правила блокировки «экстремистских» сайтов,"10 октября, 13:00",1 283
183,Нобелевскую премию по экономике присудили за создание теории контрактов,"10 октября, 12:49",14 797
184,В США Coca-Cola заподозрили в лоббистском сговоре с медицинскими ассоциациями,"10 октября, 12:38",2 105
185,Россия разместит постоянную военно-морскую базу в сирийском Тартусе,"10 октября, 12:19",2 192
186,Лукашенко объявил об окончании нефтегазового конфликта с Россией,"10 октября, 11:28",2 951
187,Новым командующим ВДВ стал Андрей Сердюков,"10 октября, 10:26",4 641
188,Париж потребует расследовать военные преступления России в Сирии,"10 октября, 10:11",6 155
189,Yonhap узнало о новой приостановке производства Samsung Galaxy Note 7,"10 октября, 08:33",2 769
190,В Германии задержали подозреваемого в подготовке терактов,"10 октября, 08:08",1 706
191,На поддержку продаж российского конкурента Airbus и Boeing выделят 200 млрд рублей,"10 октября, 07:40",6 246
192,«Коммерсантъ» рассказал подробности дела главы ассоциации правообладателей,"10 октября, 06:33",2 518
193,СМИ анонсировали отставку губернатора Самарской области,"10 октября, 04:51",10 825
194,Британским министрам запретили пользоваться Apple Watch из-за «русских хакеров»,"10 октября, 03:53",2 511
195,Гражданские проекты профинансируют за счет Минобороны,"10 октября, 02:56",2 295
196,«Коммерсантъ» узнал о возможном назначении Дворковича главой РЖД,"10 октября, 01:43",4 406
197,Умер польский режиссер Анджей Вайда,"10 октября, 01:22",2 733
198,Улюкаев рассказал о поэтапном снятии запрета на ввоз овощей и фруктов из Турции,"9 октября, 23:11",1 885
199,«Дождь» нашел у тезки главы Тульской области квартиру за 500 млн рублей,"9 октября, 21:57",8 872
200,Консулу разрешили встретиться с арестованным в Москве за шпионаж украинским журналистом,"9 октября, 19:37",2 006
201,В Москве задержали предполагаемых похитителей гражданина Кубы,"9 октября, 18:44",2 877
202,На английскую фотомодель завели дело за пропаганду ИГИЛ,"9 октября, 17:05",5 731
203,При теракте в Турции погибли 18 человек,"9 октября, 15:26",4 958
204,Лавров нашел на Западе соревнование в оскорблениях Путина,"9 октября, 14:11",8 503
205,Всех полицейских Кабардино-Балкарии отправили на розыск убийц их коллег,"9 октября, 13:36",3 691
206,Президент Грузии заявил о «серьезных нарушениях» на выборах,"9 октября, 11:45",4 131
207,Экс-глава Росмолодежи стал руководителем аппарата Госдумы,"9 октября, 10:32",3 863
208,СМИ узнали о планах заменить Трампа на выборах,"9 октября, 09:04",14 395
209,В Чечне до семи боевиков убиты при нападении на полицию,"9 октября, 08:28",5 397
210,Пассажирский поезд сошел с рельсов в пригороде Нью-Йорка,"9 октября, 06:18",2 704
211,США пересмотрят поддержку арабской коалиции после авиаударов в Йемене,"9 октября, 04:37",4 394
212,В Греции скончался последний из организаторов путча «черных полковников»,"9 октября, 03:52",2 830
213,СМИ сообщили об отказе компаний от покупки Twitter,"9 октября, 02:29",3 876
214,Правящая партия оказалась в лидерах на выборах в Грузии,"9 октября, 01:09",2 784
215,Совбез ООН отклонил российский проект резолюции по Сирии,"8 октября, 23:40",4 353
216,Россия наложила вето на резолюцию Франции по Сирии,"8 октября, 22:13",8 484
217,СК Белоруссии возбудил дело по факту нападения в ТЦ Минска,"8 октября, 21:42",3 566
218,Экзит-поллы отдали правящей партии победу на выборах в Грузии,"8 октября, 19:10",3 659
219,Американские спекулянты сделали рекордные ставки на укрепление рубля,"8 октября, 18:55",8 832
220,Ураган «Мэтью» ослабел до первой категории,"8 октября, 17:27",2 378
221,Минобороны рассказало об отсутствии секрета в переброске «Искандера» в Калининград,"8 октября, 15:40",3 421
